馬名,日付,場,馬場種別,距離,着順,人気,頭数,タイム,補正タイム,時計指数,上がり3F
ビヨンドザシーン,2025-09-20,中山,ダ,1200,15,16,16,73.1,75.05,21.1,37.1
サニーサフラン,2025-09-20,中山,ダ,1200,16,15,16,73.5,75.45,17.5,39.3
ハクサンアイリス,2025-09-20,阪神,ダ,1400,1,1,16,84.4,85.10,49.2,36.5
メイケイレイン,2025-09-20,阪神,ダ,1400,2,3,16,84.4,85.10,49.2,36.9
サンマルノヴェル,2025-09-20,阪神,ダ,1400,3,4,16,84.5,85.20,48.4,37.7
モズタチアガレ,2025-09-20,阪神,ダ,1400,4,2,16,84.5,85.20,48.4,37.5
トラヴェリンバンド,2025-09-20,阪神,ダ,1400,5,8,16,85.0,85.70,44.5,37.8
ジェミート,2025-09-20,阪神,ダ,1400,6,6,16,85.0,85.70,44.5,36.8
サンライズジュピタ,2025-09-20,阪神,ダ,1400,7,12,16,85.6,86.30,39.8,39.1
テーオーノーベル,2025-09-20,阪神,ダ,1400,8,10,16,85.6,86.30,39.8,37.6
タイセイレグノ,2025-09-20,阪神,ダ,1400,9,11,16,85.9,86.60,37.5,38.7
アシャカブラン,2025-09-20,阪神,ダ,1400,10,15,16,86.3,87.00,34.4,38.0
レジポッセ,2025-09-20,阪神,ダ,1400,11,14,16,86.5,87.20,32.8,37.9
バルミーウェザー,2025-09-20,阪神,ダ,1400,12,9,16,86.6,87.30,32.0,38.0
マイネルサンテ,2025-09-20,阪神,ダ,1400,13,13,16,87.1,87.80,28.1,39.4
トレチーメ,2025-09-20,阪神,ダ,1400,14,5,16,87.1,87.80,28.1,39.9
ブラックサンライズ,2025-09-20,阪神,ダ,1400,15,7,16,87.3,88.00,26.6,40.8
サンライズアレス,2025-09-20,阪神,ダ,1400,16,16,16,88.0,88.70,21.1,40.5
グローリーリンク,2025-09-20,阪神,芝,2000,1,1,7,117.6,117.60,64.1,35.1
ウィルサヴァイブ,2025-09-20,阪神,芝,2000,2,2,7,117.8,117.80,62.9,36.0
スターリングアップ,2025-09-20,阪神,芝,2000,3,6,7,119.2,119.20,54.3,35.9
ヴォワラクテ,2025-09-20,阪神,芝,2000,4,3,7,119.2,119.20,54.3,36.5
イトカワサクラ,2025-09-20,阪神,芝,2000,5,4,7,119.4,119.40,53.1,35.1
ファミリーツリー,2025-09-20,阪神,芝,2000,6,5,7,119.4,119.40,53.1,36.8
ハッピーアズラリー,2025-09-20,阪神,芝,2000,7,7,7,120.5,120.50,46.3,35.8
スターペスカオリ,2025-09-20,阪神,ダ,1400,1,11,13,84.3,85.00,50.0,35.8
テイエムランウェイ,2025-09-20,阪神,ダ,1400,2,13,13,84.4,85.10,49.2,36.4
キャピタルサックス,2025-09-20,阪神,ダ,1400,3,5,13,84.4,85.10,49.2,36.1
セミマル,2025-09-20,阪神,ダ,1400,4,8,13,84.6,85.30,47.7,36.7
プルートマスター,2025-09-20,阪神,ダ,1400,5,4,13,84.7,85.40,46.9,37.0
ジャーヴィス,2025-09-20,阪神,ダ,1400,6,6,13,84.8,85.50,46.1,36.3
ダノンスウィッチ,2025-09-20,阪神,ダ,1400,7,3,13,84.8,85.50,46.1,37.0
フェルヴェンテ,2025-09-20,阪神,ダ,1400,8,2,13,85.0,85.70,44.5,36.8
メイショウタイゲイ,2025-09-20,阪神,ダ,1400,9,12,13,85.0,85.70,44.5,36.3
タイゲン,2025-09-20,阪神,ダ,1400,10,9,13,85.0,85.70,44.5,36.6
ランスオブサターン,2025-09-20,阪神,ダ,1400,11,10,13,85.1,85.80,43.7,36.8
プロミシングスター,2025-09-20,阪神,ダ,1400,12,1,13,85.1,85.80,43.7,37.0
キャプテンシー,2025-09-20,阪神,ダ,1400,13,7,13,86.9,87.60,29.7,38.3
カミノレアル,2025-09-20,阪神,ダ,1800,1,4,16,112.1,112.80,55.5,37.6
ゴッドエスパーダ,2025-09-20,阪神,ダ,1800,2,1,16,112.6,113.30,52.5,37.7
メイショウマントル,2025-09-20,阪神,ダ,1800,3,16,16,113.3,114.00,48.2,37.7
リジン,2025-09-20,阪神,ダ,1800,4,8,16,113.4,114.10,47.5,38.7
トゥルブレンシア,2025-09-20,阪神,ダ,1800,5,11,16,113.5,114.20,46.9,38.3
ロイガヴェーグル,2025-09-20,阪神,ダ,1800,6,13,16,113.6,114.30,46.3,38.8
ハリウッドパーク,2025-09-20,阪神,ダ,1800,7,9,16,113.8,114.50,45.1,39.5
グランキングオー,2025-09-20,阪神,ダ,1800,8,2,16,114.0,114.70,43.9,39.8
シンコーナホチャン,2025-09-20,阪神,ダ,1800,9,7,16,114.0,114.70,43.9,38.9
タカサンフェイス,2025-09-20,阪神,ダ,1800,10,3,16,114.0,114.70,43.9,39.6
ケイアイメキラ,2025-09-20,阪神,ダ,1800,11,10,16,114.2,114.90,42.6,39.1
テーオールビー,2025-09-20,阪神,ダ,1800,12,5,16,114.4,115.10,41.4,39.9
ウォーターハウス,2025-09-20,阪神,ダ,1800,13,14,16,114.8,115.50,39.0,39.4
オーシンハーフ,2025-09-20,阪神,ダ,1800,14,6,16,115.7,116.40,33.4,39.5
レイドデザート,2025-09-20,阪神,ダ,1800,15,12,16,116.6,117.30,27.9,42.2
スカンジナビア,2025-09-20,阪神,ダ,1800,16,15,16,117.2,117.90,24.3,40.7
ヒシアマン,2025-09-21,中山,芝,1600,1,1,9,92.0,94.80,46.0,34.4
メタルスピード,2025-09-21,中山,芝,1600,2,3,9,92.3,95.10,44.0,35.7
ロゼル,2025-09-21,中山,芝,1600,3,7,9,92.4,95.20,43.3,35.2
ツルマウカタチ,2025-09-21,中山,芝,1600,4,4,9,92.4,95.20,43.3,34.5
ケイケイ,2025-09-21,中山,芝,1600,5,8,9,92.5,95.30,42.6,35.1
シルバーレイン,2025-09-21,中山,芝,1600,6,2,9,92.6,95.40,41.9,34.7
グレイトクラウン,2025-09-21,中山,芝,1600,7,9,9,93.1,95.90,38.6,35.3
カズミクラーシュ,2025-09-21,中山,芝,1600,8,5,9,93.6,96.40,35.2,35.9
ヴァルドルチャ,2025-09-21,中山,芝,1600,9,6,9,93.6,96.40,35.2,36.4
ハギノサステナブル,2025-09-21,中山,ダ,1800,1,2,16,113.0,113.65,51.3,39.2
リバートゥルー,2025-09-21,中山,ダ,1800,2,7,16,113.0,113.65,51.3,38.3
クラウンシエンタ,2025-09-21,中山,ダ,1800,3,3,16,113.0,113.65,51.3,38.9
イージーオンミー,2025-09-21,中山,ダ,1800,4,9,16,113.3,113.95,49.7,38.9
レシプロシティ,2025-09-21,中山,ダ,1800,5,8,16,113.4,114.05,49.2,39.7
プラウドヘリテージ,2025-09-21,中山,ダ,1800,6,10,16,113.5,114.15,48.7,40.1
ヨリノサファイヤ,2025-09-21,中山,ダ,1800,7,16,16,113.7,114.35,47.7,39.3
タガノチョコラータ,2025-09-21,中山,ダ,1800,8,11,16,113.7,114.35,47.7,38.6
エスティメート,2025-09-21,中山,ダ,1800,9,15,16,113.7,114.35,47.7,39.5
ゴールドアローン,2025-09-21,中山,ダ,1800,10,5,16,113.8,114.45,47.2,40.6
イムホテプ,2025-09-21,中山,ダ,1800,11,1,16,113.8,114.45,47.2,40.7
ソレルビュレット,2025-09-21,中山,ダ,1800,12,6,16,113.9,114.55,46.7,39.8
プレイサーゴールド,2025-09-21,中山,ダ,1800,13,14,16,114.1,114.75,45.6,39.3
ブレスワード,2025-09-21,中山,ダ,1800,14,4,16,114.3,114.95,44.6,40.8
ロードマゼラン,2025-09-21,中山,ダ,1800,15,12,16,114.4,115.05,44.1,38.9
エスコバル,2025-09-21,中山,ダ,1800,16,13,16,116.1,116.75,35.4,40.2
レガレイラ,2025-09-21,中山,芝,2200,1,1,11,130.2,133.00,52.9,34.0
ドゥラドーレス,2025-09-21,中山,芝,2200,2,2,11,130.4,133.20,51.9,34.4
ヨーホーレイク,2025-09-21,中山,芝,2200,3,4,11,130.7,133.50,50.5,34.2
フェアエールング,2025-09-21,中山,芝,2200,4,8,11,130.7,133.50,50.5,35.0
ホーエリート,2025-09-21,中山,芝,2200,5,3,11,130.8,133.60,50.0,34.6
リカンカブール,2025-09-21,中山,芝,2200,6,10,11,131.0,133.80,49.0,34.5
ワイドエンペラー,2025-09-21,中山,芝,2200,7,11,11,131.0,133.80,49.0,34.1
コスモキュランダ,2025-09-21,中山,芝,2200,8,5,11,131.0,133.80,49.0,35.2
シュバルツクーゲル,2025-09-21,中山,芝,2200,9,9,11,131.1,133.90,48.5,35.1
クロミナンス,2025-09-21,中山,芝,2200,10,6,11,131.1,133.90,48.5,34.7
リビアングラス,2025-09-21,中山,芝,2200,11,7,11,132.1,134.90,43.7,36.1
サンセットブライト,2025-09-21,中山,ダ,1800,1,8,16,113.5,114.15,48.7,37.9
モズカトレア,2025-09-21,中山,ダ,1800,2,2,16,113.6,114.25,48.2,39.0
ウィンターダフネ,2025-09-21,中山,ダ,1800,3,13,16,113.8,114.45,47.2,39.2
エイシンナデシコ,2025-09-21,中山,ダ,1800,4,14,16,113.8,114.45,47.2,39.0
サツキノジョウ,2025-09-21,中山,ダ,1800,5,7,16,114.0,114.65,46.1,38.3
コンアフェット,2025-09-21,中山,ダ,1800,6,6,16,114.1,114.75,45.6,39.3
ロフティーイデアル,2025-09-21,中山,ダ,1800,7,3,16,114.2,114.85,45.1,39.2
ゴヴェルナーレリコ,2025-09-21,中山,ダ,1800,8,11,16,114.3,114.95,44.6,39.2
ラヴァブル,2025-09-21,中山,ダ,1800,9,9,16,114.6,115.25,43.1,39.4
マフィン,2025-09-21,中山,ダ,1800,10,16,16,114.8,115.45,42.0,39.8
イゾラフェリーチェ,2025-09-21,中山,ダ,1800,11,4,16,114.9,115.55,41.5,39.4
アンドリーナ,2025-09-21,中山,ダ,1800,12,5,16,115.0,115.65,41.0,39.7
アパイシュナール,2025-09-21,中山,ダ,1800,13,10,16,115.0,115.65,41.0,39.5
スマートプレシャス,2025-09-21,中山,ダ,1800,14,12,16,116.3,116.95,34.3,41.8
ミレニアムヒロイン,2025-09-21,中山,ダ,1800,15,15,16,117.6,118.25,27.6,42.1
エターナルプロミス,2025-09-21,中山,ダ,1800,16,1,16,118.9,119.55,21.0,44.3
アスティスプマンテ,2025-09-21,阪神,芝,1200,1,2,10,68.2,68.80,50.0,33.4
ルソレイユ,2025-09-21,阪神,芝,1200,2,7,10,68.3,68.90,48.9,34.1
アスクドリームモア,2025-09-21,阪神,芝,1200,3,5,10,68.5,69.10,46.8,33.7
ボンヌソワレ,2025-09-21,阪神,芝,1200,4,1,10,68.6,69.20,45.7,33.5
ヒーローインチーフ,2025-09-21,阪神,芝,1200,5,3,10,68.6,69.20,45.7,33.3
ズバットマサムネ,2025-09-21,阪神,芝,1200,6,8,10,68.7,69.30,44.6,34.1
ドナウパール,2025-09-21,阪神,芝,1200,7,4,10,68.8,69.40,43.6,33.4
スマートジェイナ,2025-09-21,阪神,芝,1200,8,6,10,69.0,69.60,41.4,33.7
ハピアーザンエバー,2025-09-21,阪神,芝,1200,9,9,10,69.2,69.80,39.3,34.9
カツラノキサノキ,2025-09-21,阪神,芝,1200,10,10,10,69.3,69.90,38.2,33.6
ファミリータイム,2025-09-21,阪神,芝,2200,1,2,9,134.8,135.40,31.0,33.8
レミージュ,2025-09-21,阪神,芝,2200,2,4,9,135.0,135.60,29.5,33.7
シャイニングソード,2025-09-21,阪神,芝,2200,3,1,9,135.0,135.60,29.5,33.5
チルカーノ,2025-09-21,阪神,芝,2200,4,5,9,135.0,135.60,29.5,33.9
ウインルーティン,2025-09-21,阪神,芝,2200,5,8,9,135.2,135.80,28.0,34.3
タイセイフェリーク,2025-09-21,阪神,芝,2200,6,7,9,135.2,135.80,28.0,33.4
ハニーコム,2025-09-21,阪神,芝,2200,7,3,9,135.3,135.90,27.3,34.0
ヴォランテ,2025-09-21,阪神,芝,2200,8,6,9,135.4,136.00,26.6,33.8
シャンデルナゴル,2025-09-21,阪神,芝,2200,9,9,9,135.5,136.10,25.8,34.3
エリキング,2025-09-21,阪神,芝,2400,1,2,10,146.4,147.00,50.0,32.3
ショウヘイ,2025-09-21,阪神,芝,2400,2,1,10,146.5,147.10,49.6,32.9
ジョバンニ,2025-09-21,阪神,芝,2400,3,3,10,146.8,147.40,48.3,33.1
デルアヴァー,2025-09-21,阪神,芝,2400,4,7,10,146.9,147.50,47.9,33.1
ライトトラック,2025-09-21,阪神,芝,2400,5,4,10,146.9,147.50,47.9,33.0
アルマデオロ,2025-09-21,阪神,芝,2400,6,6,10,147.0,147.60,47.4,33.6
サンライズバブル,2025-09-21,阪神,芝,2400,7,9,10,147.3,147.90,46.2,33.0
ジョイボーイ,2025-09-21,阪神,芝,2400,8,5,10,147.3,147.90,46.2,32.8
パッションリッチ,2025-09-21,阪神,芝,2400,9,10,10,147.4,148.00,45.7,33.2
ボンドロア,2025-09-21,阪神,芝,2400,10,8,10,148.0,148.60,43.2,34.7
ダノンフィーゴ,2025-09-21,阪神,ダ,1400,1,1,15,83.2,83.20,64.1,35.7
コスモストーム,2025-09-21,阪神,ダ,1400,2,2,15,83.9,83.90,58.6,36.2
レッドダンルース,2025-09-21,阪神,ダ,1400,3,8,15,84.1,84.10,57.0,36.9
リネアグローリア,2025-09-21,阪神,ダ,1400,4,10,15,84.2,84.20,56.3,36.3
アラナコア,2025-09-21,阪神,ダ,1400,5,6,15,84.3,84.30,55.5,35.5
アンズアメ,2025-09-21,阪神,ダ,1400,6,3,15,84.3,84.30,55.5,36.9
ホウショウマリス,2025-09-21,阪神,ダ,1400,7,4,15,84.6,84.60,53.1,36.9
リメンバーヒム,2025-09-21,阪神,ダ,1400,8,5,15,84.6,84.60,53.1,36.7
メイショウコギク,2025-09-21,阪神,ダ,1400,9,11,15,84.7,84.70,52.3,36.2
メイショウザンゲツ,2025-09-21,阪神,ダ,1400,10,13,15,84.8,84.80,51.6,37.6
アレ,2025-09-21,阪神,ダ,1400,11,7,15,85.0,85.00,50.0,36.7
キタノブライド,2025-09-21,阪神,ダ,1400,12,14,15,85.0,85.00,50.0,36.6
ペプチドハドソン,2025-09-21,阪神,ダ,1400,13,15,15,85.2,85.20,48.4,37.1
オコタンペ,2025-09-21,阪神,ダ,1400,14,9,15,85.5,85.50,46.1,36.6
エリカドリーム,2025-09-21,阪神,ダ,1400,15,12,15,85.7,85.70,44.5,38.6
ウイナーズナイン,2025-09-27,中山,芝,2000,1,4,9,120.3,121.20,48.0,34.9
アメテュストス,2025-09-27,中山,芝,2000,2,5,9,120.3,121.20,48.0,35.3
ザーフィル,2025-09-27,中山,芝,2000,3,3,9,120.3,121.20,48.0,35.0
ロックターミガン,2025-09-27,中山,芝,2000,4,1,9,120.5,121.40,47.0,35.4
マイネルマスター,2025-09-27,中山,芝,2000,5,6,9,120.7,121.60,46.0,35.8
タイダルロック,2025-09-27,中山,芝,2000,6,2,9,120.7,121.60,46.0,35.1
コスモエルヴァル,2025-09-27,中山,芝,2000,7,7,9,121.8,122.70,40.6,36.1
ハロングロットル,2025-09-27,中山,芝,2000,8,9,9,121.9,122.80,40.1,35.8
トゥーナスタディ,2025-09-27,中山,芝,2000,9,8,9,122.0,122.90,39.6,36.7
ソーダーンライト,2025-09-27,中山,芝,1200,1,1,16,67.6,68.50,50.0,33.6
モジャーリオ,2025-09-27,中山,芝,1200,2,2,16,67.8,68.70,47.9,33.4
コウセキ,2025-09-27,中山,芝,1200,3,4,16,67.9,68.80,46.8,34.1
ファビュラススター,2025-09-27,中山,芝,1200,4,6,16,67.9,68.80,46.8,32.3
トーホウフランゴ,2025-09-27,中山,芝,1200,5,13,16,68.0,68.90,45.8,33.2
アタリダイキチ,2025-09-27,中山,芝,1200,6,11,16,68.0,68.90,45.8,33.7
ベンガン,2025-09-27,中山,芝,1200,7,16,16,68.1,69.00,44.7,33.9
レザンノワール,2025-09-27,中山,芝,1200,8,12,16,68.1,69.00,44.7,33.6
フーコサンライズ,2025-09-27,中山,芝,1200,9,9,16,68.2,69.10,43.7,34.2
ニタモノドウシ,2025-09-27,中山,芝,1200,10,5,16,68.3,69.20,42.6,33.9
ゴキゲンサン,2025-09-27,中山,芝,1200,11,8,16,68.5,69.40,40.5,33.5
インプロバイザー,2025-09-27,中山,芝,1200,12,10,16,68.6,69.50,39.5,34.7
テーオースパロー,2025-09-27,中山,芝,1200,13,14,16,68.6,69.50,39.5,33.9
エクセルゴールド,2025-09-27,中山,芝,1200,14,15,16,68.6,69.50,39.5,33.9
プリティディーヴァ,2025-09-27,中山,芝,1200,15,3,16,68.8,69.70,37.4,34.2
ユキノエミリオ,2025-09-27,中山,芝,1200,16,7,16,69.4,70.30,31.1,34.4
ピースワンデュック,2025-09-27,中山,芝,1600,1,11,16,92.9,93.80,52.7,34.6
ワンダイレクト,2025-09-27,中山,芝,1600,2,9,16,92.9,93.80,52.7,34.1
トーセンエスクード,2025-09-27,中山,芝,1600,3,12,16,93.1,94.00,51.3,34.4
ポルカリズム,2025-09-27,中山,芝,1600,4,13,16,93.1,94.00,51.3,34.1
ピックアチェリー,2025-09-27,中山,芝,1600,5,7,16,93.2,94.10,50.7,33.7
セブンマジシャン,2025-09-27,中山,芝,1600,6,5,16,93.2,94.10,50.7,33.8
ガイアメンテ,2025-09-27,中山,芝,1600,7,6,16,93.3,94.20,50.0,34.1
コートアリシアン,2025-09-27,中山,芝,1600,8,1,16,93.4,94.30,49.3,34.5
トワイライトシティ,2025-09-27,中山,芝,1600,9,16,16,93.9,94.80,46.0,35.3
グーテンベルク,2025-09-27,中山,芝,1600,10,2,16,93.9,94.80,46.0,34.5
レッドアトレーヴ,2025-09-27,中山,芝,1600,11,4,16,94.1,95.00,44.6,34.3
ムーンリットナイト,2025-09-27,中山,芝,1600,12,15,16,94.1,95.00,44.6,35.2
ウインレイアー,2025-09-27,中山,芝,1600,13,10,16,94.2,95.10,44.0,35.5
スマートワイス,2025-09-27,中山,芝,1600,14,3,16,94.3,95.20,43.3,35.1
ユキノロイヤル,2025-09-27,中山,芝,1600,15,14,16,94.6,95.50,41.3,35.9
ニュージーズ,2025-09-27,中山,芝,1600,16,8,16,96.3,97.20,29.9,37.4
ワンダラー,2025-09-27,中山,ダ,1200,1,2,16,71.4,71.40,53.6,36.2
ビッグドリーム,2025-09-27,中山,ダ,1200,2,1,16,71.5,71.50,52.7,37.1
スミレファースト,2025-09-27,中山,ダ,1200,2,11,16,71.5,71.50,52.7,36.8
オセアエクスプレス,2025-09-27,中山,ダ,1200,4,9,16,71.8,71.80,50.0,36.4
アルジェンタージョ,2025-09-27,中山,ダ,1200,5,10,16,71.9,71.90,49.1,36.9
サマースイートピー,2025-09-27,中山,ダ,1200,6,6,16,71.9,71.90,49.1,36.4
タッカージーティー,2025-09-27,中山,ダ,1200,7,7,16,71.9,71.90,49.1,36.1
フレッシュラン,2025-09-27,中山,ダ,1200,8,3,16,71.9,71.90,49.1,37.5
エリンアキレウス,2025-09-27,中山,ダ,1200,9,16,16,72.1,72.10,47.3,35.9
ドナカルナバル,2025-09-27,中山,ダ,1200,10,4,16,72.1,72.10,47.3,37.2
グラスブランシュ,2025-09-27,中山,ダ,1200,11,8,16,72.4,72.40,44.7,35.8
モリノレッドスター,2025-09-27,中山,ダ,1200,12,5,16,72.4,72.40,44.7,37.2
アオカミ,2025-09-27,中山,ダ,1200,13,15,16,72.5,72.50,43.8,37.3
ベルウッドウズメ,2025-09-27,中山,ダ,1200,14,13,16,72.7,72.70,42.0,36.6
トロピカルヒーロー,2025-09-27,中山,ダ,1200,15,14,16,72.8,72.80,41.1,35.8
ニシノクラウン,2025-09-27,中山,ダ,1200,16,12,16,73.5,73.50,34.9,37.9
ペルセア,2025-09-27,阪神,ダ,1400,1,2,8,85.5,87.30,32.0,36.5
ローズカリス,2025-09-27,阪神,ダ,1400,2,5,8,85.5,87.30,32.0,37.2
テーオーグレーザー,2025-09-27,阪神,ダ,1400,3,3,8,85.5,87.30,32.0,37.0
シュテフィ,2025-09-27,阪神,ダ,1400,4,4,8,85.8,87.60,29.7,36.6
キーンセンス,2025-09-27,阪神,ダ,1400,5,1,8,85.8,87.60,29.7,37.5
エブリデイ,2025-09-27,阪神,ダ,1400,6,6,8,86.1,87.90,27.3,37.6
セイカミナミホリエ,2025-09-27,阪神,ダ,1400,7,7,8,86.8,88.60,21.9,37.9
ナムラドロン,2025-09-27,阪神,ダ,1400,8,8,8,87.8,89.60,14.1,39.2
シュタールヴィント,2025-09-27,阪神,芝,1200,1,2,16,68.3,68.30,55.4,33.1
ルーフ,2025-09-27,阪神,芝,1200,2,7,16,68.3,68.30,55.4,33.6
モンシュマン,2025-09-27,阪神,芝,1200,3,8,16,68.3,68.30,55.4,33.3
エコロマーズ,2025-09-27,阪神,芝,1200,4,6,16,68.4,68.40,54.3,34.0
ミルテンベルク,2025-09-27,阪神,芝,1200,5,4,16,68.5,68.50,53.2,32.8
バンドシェル,2025-09-27,阪神,芝,1200,6,5,16,68.6,68.60,52.1,32.9
セシリエプラージュ,2025-09-27,阪神,芝,1200,7,3,16,68.6,68.60,52.1,33.6
ヤマニンアストロン,2025-09-27,阪神,芝,1200,8,9,16,68.7,68.70,51.1,33.3
レッドエヴァンス,2025-09-27,阪神,芝,1200,9,1,16,68.8,68.80,50.0,33.9
ジャスパーノワール,2025-09-27,阪神,芝,1200,10,11,16,69.0,69.00,47.9,34.5
ルミノメテオール,2025-09-27,阪神,芝,1200,11,12,16,69.0,69.00,47.9,33.5
デイトナモード,2025-09-27,阪神,芝,1200,12,13,16,69.0,69.00,47.9,34.3
ニシノコウダイ,2025-09-27,阪神,芝,1200,13,14,16,69.0,69.00,47.9,33.6
ロードトレイル,2025-09-27,阪神,芝,1200,14,10,16,69.7,69.70,40.4,34.7
コナブラック,2025-09-27,阪神,芝,1200,15,15,16,69.9,69.90,38.2,33.7
ベンダバリラビア,2025-09-27,阪神,芝,1200,16,16,16,70.1,70.10,36.1,33.7
ホウオウルーレット,2025-09-27,阪神,ダ,2000,1,8,14,124.8,126.60,50.6,36.4
サイモンザナドゥ,2025-09-27,阪神,ダ,2000,2,9,14,124.9,126.70,50.0,36.7
ジューンアヲニヨシ,2025-09-27,阪神,ダ,2000,3,4,14,124.9,126.70,50.0,37.2
ジンセイ,2025-09-27,阪神,ダ,2000,4,2,14,124.9,126.70,50.0,37.0
ブライアンセンス,2025-09-27,阪神,ダ,2000,5,7,14,125.2,127.00,48.3,36.9
ルクスフロンティア,2025-09-27,阪神,ダ,2000,6,6,14,125.3,127.10,47.7,37.5
テーオーパスワード,2025-09-27,阪神,ダ,2000,7,1,14,125.3,127.10,47.7,37.2
タイトニット,2025-09-27,阪神,ダ,2000,8,3,14,125.6,127.40,45.9,37.6
エナハツホ,2025-09-27,阪神,ダ,2000,9,14,14,126.0,127.80,43.6,37.5
タイセイドレフォン,2025-09-27,阪神,ダ,2000,10,13,14,126.1,127.90,43.0,37.7
メイプルリッジ,2025-09-27,阪神,ダ,2000,11,5,14,126.5,128.30,40.7,38.2
ラインオブソウル,2025-09-27,阪神,ダ,2000,12,11,14,126.7,128.50,39.6,38.2
グーデンドラーク,2025-09-27,阪神,ダ,2000,13,12,14,127.1,128.90,37.2,39.0
ホウオウプロサンゲ,2025-09-27,阪神,ダ,2000,14,10,14,130.0,131.80,20.4,42.4
タカネノハナコサン,2025-09-27,阪神,ダ,1200,1,2,16,70.6,72.40,50.0,36.3
ランウインディ,2025-09-27,阪神,ダ,1200,2,5,16,71.4,73.20,42.5,36.4
ジャスパーバローズ,2025-09-27,阪神,ダ,1200,3,6,16,71.5,73.30,41.6,36.2
フィドルファドル,2025-09-27,阪神,ダ,1200,4,1,16,72.0,73.80,36.9,36.5
ヒルノピレネー,2025-09-27,阪神,ダ,1200,5,10,16,72.0,73.80,36.9,35.9
ゼンノツキヨミ,2025-09-27,阪神,ダ,1200,6,12,16,72.2,74.00,35.0,37.4
フォルティーナ,2025-09-27,阪神,ダ,1200,7,15,16,72.3,74.10,34.1,36.4
クロドラバール,2025-09-27,阪神,ダ,1200,8,13,16,72.3,74.10,34.1,37.3
フォルテローザ,2025-09-27,阪神,ダ,1200,9,4,16,72.4,74.20,33.2,37.1
スペシャルナンバー,2025-09-27,阪神,ダ,1200,10,7,16,72.4,74.20,33.2,35.7
キャッスルレイク,2025-09-27,阪神,ダ,1200,11,14,16,72.6,74.40,31.3,37.1
サドル,2025-09-27,阪神,ダ,1200,12,11,16,72.9,74.70,28.5,37.1
サクラトップヒル,2025-09-27,阪神,ダ,1200,13,8,16,73.0,74.80,27.5,36.4
エンプレスペイ,2025-09-27,阪神,ダ,1200,14,16,16,73.2,75.00,25.7,37.2
ペプチドクレマチス,2025-09-27,阪神,ダ,1200,15,3,16,73.4,75.20,23.8,38.2
シリウス,2025-09-27,阪神,ダ,1200,16,9,16,74.3,76.10,15.4,39.6
アルバンヌ,2025-09-28,中山,芝,1600,1,2,8,93.8,95.40,41.9,33.7
ベレーバスク,2025-09-28,中山,芝,1600,2,3,8,94.0,95.60,40.6,34.0
ドリームコア,2025-09-28,中山,芝,1600,3,1,8,94.1,95.70,39.9,33.7
ルージュカルデア,2025-09-28,中山,芝,1600,4,6,8,94.4,96.00,37.9,33.9
トワニ,2025-09-28,中山,芝,1600,5,5,8,94.5,96.10,37.3,34.3
クールフラン,2025-09-28,中山,芝,1600,6,4,8,95.1,96.70,33.2,35.5
シーグルロス,2025-09-28,中山,芝,1600,7,7,8,95.4,97.00,31.2,35.5
ツルノマイハシ,2025-09-28,中山,芝,1600,8,8,8,96.9,98.50,21.2,36.6
ショウナンサムデイ,2025-09-28,中山,芝,2000,1,1,13,118.8,120.40,52.0,34.3
ドゥカート,2025-09-28,中山,芝,2000,2,6,13,119.0,120.60,51.0,34.4
コスモアバンサ,2025-09-28,中山,芝,2000,3,9,13,119.1,120.70,50.5,35.4
ミスティア,2025-09-28,中山,芝,2000,4,7,13,119.2,120.80,50.0,34.3
ピンキープロミス,2025-09-28,中山,芝,2000,5,13,13,119.2,120.80,50.0,34.4
ブラックルビー,2025-09-28,中山,芝,2000,6,2,13,119.4,121.00,49.0,35.1
タッチアンドムーブ,2025-09-28,中山,芝,2000,7,4,13,119.5,121.10,48.5,33.9
リアンベーレ,2025-09-28,中山,芝,2000,8,5,13,119.5,121.10,48.5,33.7
ヴィスマール,2025-09-28,中山,芝,2000,9,3,13,119.6,121.20,48.0,34.4
マイネルシーマー,2025-09-28,中山,芝,2000,10,12,13,119.8,121.40,47.0,34.7
アイキャンドウイッ,2025-09-28,中山,芝,2000,11,8,13,120.0,121.60,46.0,34.4
カフェアローロ,2025-09-28,中山,芝,2000,12,11,13,120.1,121.70,45.5,34.1
ヴァイルマティ,2025-09-28,中山,芝,2000,13,10,13,120.2,121.80,45.0,35.7
ウインカーネリアン,2025-09-28,中山,芝,1200,1,11,16,66.9,68.50,50.0,33.0
ジューンブレア,2025-09-28,中山,芝,1200,2,7,16,66.9,68.50,50.0,33.2
ナムラクレア,2025-09-28,中山,芝,1200,3,2,16,67.2,68.80,46.8,32.7
サトノレーヴ,2025-09-28,中山,芝,1200,4,1,16,67.2,68.80,46.8,33.0
ヨシノイースター,2025-09-28,中山,芝,1200,5,14,16,67.3,68.90,45.8,33.1
ダノンマッキンリー,2025-09-28,中山,芝,1200,6,13,16,67.3,68.90,45.8,32.8
ママコチャ,2025-09-28,中山,芝,1200,6,3,16,67.3,68.90,45.8,33.2
ピューロマジック,2025-09-28,中山,芝,1200,8,5,16,67.4,69.00,44.7,33.4
カンチェンジュンガ,2025-09-28,中山,芝,1200,9,8,16,67.6,69.20,42.6,32.8
トウシンマカオ,2025-09-28,中山,芝,1200,10,6,16,67.6,69.20,42.6,33.6
